click_id,campaign_id,customer_id,clicked_at,source_url,converted
CLICK_0000001,CMP_0005,,2025-05-30T20:00:00,/landing/new-arrivals,false
CLICK_0000002,CMP_0035,,2025-01-01T16:00:00,/landing/clearance,false
CLICK_0000003,CMP_0031,115424,2024-12-30T07:00:00,/landing/new-arrivals,false
CLICK_0000004,CMP_0005,137045,2025-03-20T14:00:00,/landing/newsletter,false
CLICK_0000005,CMP_0027,22007,2025-03-27T18:00:00,/landing/new-arrivals,true
CLICK_0000006,CMP_0006,145698,2024-12-20T08:00:00,/landing/newsletter,false
CLICK_0000007,CMP_0013,,2025-07-10T02:00:00,/landing/clearance,false
CLICK_0000008,CMP_0035,18301,2025-08-21T14:00:00,/landing/clearance,false
CLICK_0000009,CMP_0029,,2024-09-17T09:00:00,/landing/new-arrivals,false
CLICK_0000010,CMP_0020,110889,2025-01-12T15:00:00,/landing/clearance,false
CLICK_0000011,CMP_0021,147842,2024-10-07T22:00:00,/landing/summer-sale,true
CLICK_0000012,CMP_0024,,2024-10-30T08:00:00,/landing/new-arrivals,false
CLICK_0000013,CMP_0008,20917,2025-02-27T19:00:00,/landing/holiday,false
CLICK_0000014,CMP_0021,123185,2024-10-16T17:00:00,/landing/holiday,false
CLICK_0000015,CMP_0028,59743,2024-07-22T18:00:00,/landing/summer-sale,false
CLICK_0000016,CMP_0037,131820,2025-01-09T07:00:00,/landing/newsletter,false
CLICK_0000017,CMP_0031,29908,2024-02-01T19:00:00,/landing/clearance,false
CLICK_0000018,CMP_0023,29326,2024-08-14T04:00:00,/landing/new-arrivals,true
CLICK_0000019,CMP_0025,18301,2025-12-23T19:00:00,/landing/clearance,false
CLICK_0000020,CMP_0011,,2024-07-19T07:00:00,/landing/new-arrivals,true
CLICK_0000021,CMP_0028,,2024-03-17T15:00:00,/landing/clearance,false
CLICK_0000022,CMP_0003,96870,2025-02-12T06:00:00,/landing/summer-sale,false
CLICK_0000023,CMP_0008,63928,2024-02-20T04:00:00,/landing/new-arrivals,false
CLICK_0000024,CMP_0016,22719,2025-06-19T06:00:00,/landing/summer-sale,false
CLICK_0000025,CMP_0012,13530,2025-08-28T08:00:00,/landing/summer-sale,false
CLICK_0000026,CMP_0001,134002,2025-08-08T19:00:00,/landing/summer-sale,false
CLICK_0000027,CMP_0023,115825,2025-07-12T23:00:00,/landing/new-arrivals,false
CLICK_0000028,CMP_0037,,2024-12-02T23:00:00,/landing/newsletter,false
CLICK_0000029,CMP_0002,61472,2025-10-18T10:00:00,/landing/summer-sale,true
CLICK_0000030,CMP_0006,133081,2024-06-28T19:00:00,/landing/clearance,false
CLICK_0000031,CMP_0023,,2024-04-10T01:00:00,/landing/summer-sale,true
CLICK_0000032,CMP_0032,7812,2024-11-23T11:00:00,/landing/clearance,false
CLICK_0000033,CMP_0033,112998,2024-08-02T13:00:00,/landing/clearance,false
CLICK_0000034,CMP_0003,145208,2025-06-11T21:00:00,/landing/new-arrivals,false
CLICK_0000035,CMP_0023,107683,2025-02-20T14:00:00,/landing/new-arrivals,true
CLICK_0000036,CMP_0009,,2025-10-28T02:00:00,/landing/holiday,false
CLICK_0000037,CMP_0010,,2025-03-23T22:00:00,/landing/clearance,false
CLICK_0000038,CMP_0039,,2024-03-19T01:00:00,/landing/holiday,false
CLICK_0000039,CMP_0025,60681,2024-09-07T12:00:00,/landing/holiday,false
CLICK_0000040,CMP_0027,144511,2025-08-29T16:00:00,/landing/newsletter,false
CLICK_0000041,CMP_0020,673,2025-12-16T02:00:00,/landing/clearance,true
CLICK_0000042,CMP_0017,77660,2025-03-27T09:00:00,/landing/summer-sale,false
CLICK_0000043,CMP_0031,124142,2025-06-30T18:00:00,/landing/new-arrivals,false
CLICK_0000044,CMP_0021,,2024-02-20T03:00:00,/landing/new-arrivals,false
CLICK_0000045,CMP_0015,120286,2025-07-14T04:00:00,/landing/new-arrivals,false
CLICK_0000046,CMP_0016,7812,2025-09-02T14:00:00,/landing/clearance,false
CLICK_0000047,CMP_0032,70801,2024-06-26T11:00:00,/landing/clearance,false
CLICK_0000048,CMP_0006,100977,2025-11-08T23:00:00,/landing/holiday,true
CLICK_0000049,CMP_0039,19678,2024-07-05T12:00:00,/landing/holiday,false
